a big heart but
ngram;syn;ngramScore;result count;prioriTrigram;priori count;posterioriTrigram;posteriori count;augScoreIT;augScoreMed
heart that;pump that;0,000000160126230;4650000.0;big pump that;410000;;0;551000.0;728000.0;

Given a phrase, which is in general more likely?
syn ngram;general
heart that;0,805100331031
bosom that;0,00486329641587
pump that;0,190036372553

Given a phrase, which domain is more likely?
domain/phrase (given);heart that;bosom that;pump that;
information technology;0,22967189729;0,039428124651;0,430805316654;
medical;0,77032810271;0,960571875349;0,569194683346;

Given a domain, which phrase is more likely?
phrase/domain (given);information technology;medical;
heart that;0,925244976388;0,969069272821;
bosom that;1,22542377032e-05;9,32266867649e-05;
pump that;0,0747427693745;0,0308375004921;

